S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
4957,2016-02-22,FALSE,174,87.00%,100,6,0,0,0,7,3,3,0,0,3,3,1,13,3,3,1,4,0,0,1,3,1,0,1,5,1,1,0,7,3,3,0,16,3,3,0,39,4,4,1
4958,2016-02-22,FALSE,176,88.00%,100,6,0,0,0,8,2,2,0,0,3,3,1,14,2,2,1,3,1,1,1,4,0,0,1,3,3,3,0,10,0,0,0,19,0,0,0,36,7,7,2
4962,2016-02-22,FALSE,184,92.00%,100,4,2,2,0,9,1,1,0,0,0,0,2,15,1,1,1,4,0,0,1,3,1,0,1,6,0,0,0,9,1,1,0,17,2,2,0,41,2,2,1
4965,2016-02-19,FALSE,157,78.50%,100,5,1,1,0,8,2,2,0,0,3,3,1,14,2,2,1,4,0,0,14,4,0,0,1,5,1,1,0,5,5,5,0,17,2,2,0,34,9,9,1
4966,2016-02-25,FALSE,179,89.50%,100,6,0,0,0,6,4,4,0,0,1,1,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,7,3,3,0,17,2,2,0,39,4,4,1
4969,2016-02-25,TRUE,182,91.00%,100,6,0,0,0,7,3,3,0,0,4,4,1,15,1,1,1,4,0,0,1,3,1,0,1,5,1,1,0,9,1,1,0,18,1,1,0,42,1,1,1
4994,2016-03-11,TRUE,187,93.50%,100,6,0,0,0,9,1,1,0,0,1,1,1,15,1,1,3,4,0,0,1,4,0,0,2,6,0,0,0,10,0,0,0,18,1,1,0,42,1,1,1
5006,2016-02-22,TRUE,161,80.50%,100,6,0,0,0,8,2,2,0,0,3,3,1,13,3,3,1,4,0,0,13,4,0,0,1,6,0,0,0,7,3,3,0,17,2,2,0,34,9,9,1
5007,2016-02-22,FALSE,177,88.50%,100,6,0,0,0,9,1,1,0,0,3,3,1,14,2,2,7,4,0,0,2,4,0,0,1,6,0,0,0,9,1,1,0,17,2,2,0,41,2,2,1
5010,2016-02-25,FALSE,188,94.00%,100,5,1,1,0,10,0,0,0,0,1,1,1,16,0,0,1,4,0,0,1,3,1,0,1,5,1,1,0,8,2,2,0,18,1,1,0,43,0,0,1
5012,2016-02-22,TRUE,149,74.50%,100,4,2,2,0,7,3,3,0,0,3,3,1,13,3,3,1,4,0,0,10,2,2,0,1,4,2,2,0,5,5,5,0,18,1,1,0,27,16,16,1
5017,2016-02-25,FALSE,164,82.00%,100,4,2,2,0,8,2,2,0,0,2,2,1,15,1,1,1,4,0,0,4,4,0,0,1,3,3,3,0,6,4,4,0,14,5,5,0,34,9,9,1
5021,2016-02-22,FALSE,181,90.50%,100,4,2,2,0,8,2,2,0,0,3,3,1,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,19,0,0,0,38,5,5,1
5023,2016-02-25,FALSE,169,84.50%,100,5,1,1,0,8,2,2,0,0,2,2,1,13,3,3,6,4,0,0,1,4,0,0,2,5,1,1,0,7,3,3,0,18,1,1,0,36,7,7,1
5029,2016-02-22,FALSE,187,93.50%,100,6,0,0,0,7,3,3,0,0,1,1,1,16,0,0,1,4,0,0,1,3,1,0,1,6,0,0,0,10,0,0,0,18,1,1,0,41,2,2,1
5033,2016-02-22,FALSE,166,83.00%,100,4,2,2,0,4,6,6,0,0,2,2,1,13,3,3,1,4,0,0,1,3,1,0,1,5,1,1,0,5,5,5,0,16,3,3,0,37,6,6,1
5035,2016-02-22,FALSE,128,64.00%,100,3,3,3,0,7,3,3,0,0,1,1,1,10,6,6,2,3,1,1,30,4,0,0,1,4,2,2,0,7,3,3,0,15,4,4,0,29,14,14,1
5036,2016-02-22,FALSE,177,88.50%,100,4,2,2,0,8,2,2,0,0,3,3,1,11,5,5,1,4,0,0,2,4,0,0,1,4,2,2,0,9,1,1,0,18,1,1,0,42,1,1,1
5037,2016-02-25,FALSE,182,91.00%,100,6,0,0,0,9,1,1,0,0,0,0,1,13,3,3,1,4,0,0,4,4,0,0,1,5,1,1,0,9,1,1,0,18,1,1,0,40,3,3,1
5039,2016-02-22,FALSE,175,87.50%,100,5,1,1,0,6,4,4,0,0,1,1,2,15,1,1,1,4,0,0,1,3,1,0,1,4,2,2,0,8,2,2,0,16,3,3,0,39,4,4,1
5041,2016-02-25,TRUE,184,92.00%,100,5,1,1,0,7,3,3,0,0,2,2,1,16,0,0,1,3,1,1,1,4,0,0,1,3,3,3,0,10,0,0,0,19,0,0,0,42,1,1,1
5053,2016-02-22,FALSE,179,89.50%,100,5,1,1,0,9,1,1,0,0,3,3,2,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,8,2,2,0,19,0,0,0,39,4,4,3
5059,2016-03-08,FALSE,151,75.50%,100,4,2,2,0,7,3,3,0,0,4,4,1,0,0,4,7,4,0,0,1,4,0,0,1,4,2,2,0,8,2,2,0,15,4,4,0,26,17,17,1
5060,2016-02-22,FALSE,175,87.50%,100,6,0,0,0,9,1,1,0,0,1,1,1,15,1,1,1,4,0,0,2,4,0,0,1,5,1,1,0,9,1,1,0,12,7,7,0,36,7,7,1
5061,2016-02-25,TRUE,181,90.50%,100,6,0,0,0,8,2,2,0,0,0,0,1,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,10,0,0,0,17,2,2,0,36,7,7,1
5065,2016-02-25,TRUE,185,92.50%,100,5,1,1,0,7,3,3,0,0,0,0,1,14,2,2,1,4,0,0,1,3,1,0,1,6,0,0,0,10,0,0,0,17,2,2,0,42,1,1,1
5088,2016-03-17,FALSE,168,84.00%,100,5,1,1,0,8,2,2,0,0,2,2,2,12,4,4,1,4,0,0,10,4,0,0,1,4,2,2,0,9,1,1,0,15,4,4,0,42,1,1,1
5135,2016-03-17,FALSE,168,84.00%,100,5,1,1,0,7,3,3,0,0,3,3,1,15,1,1,1,4,0,0,10,4,0,0,1,4,2,2,0,7,3,3,0,18,1,1,0,39,4,4,1
5141,2016-03-08,FALSE,191,95.50%,100,6,0,0,0,8,2,2,0,0,1,1,1,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,19,0,0,0,43,0,0,1
5144,2016-02-22,FALSE,164,82.00%,100,3,3,3,0,9,1,1,0,0,0,0,2,13,3,3,1,4,0,0,1,4,0,0,1,5,1,1,0,6,4,4,0,16,3,3,0,28,15,15,1
5149,2016-02-25,FALSE,173,86.50%,100,5,1,1,0,7,3,3,0,0,0,0,1,15,1,1,1,4,0,0,6,3,1,0,1,3,3,3,0,9,1,1,0,16,3,3,0,39,4,4,1
5150,2016-02-22,FALSE,124,62.00%,100,4,2,2,0,5,5,5,0,0,4,4,10,13,3,3,11,4,0,0,13,4,0,0,1,6,0,0,0,8,2,2,0,16,3,3,0,37,6,6,16
5152,2016-03-01,FALSE,148,74.00%,100,5,1,1,0,8,2,2,0,0,4,4,1,15,1,1,3,4,0,0,5,4,0,0,25,3,3,3,0,9,1,1,0,19,0,0,0,38,5,5,1
5153,2016-03-08,FALSE,180,90.00%,100,6,0,0,0,8,2,2,0,0,3,3,1,15,1,1,1,4,0,0,4,4,0,0,1,4,2,2,0,9,1,1,0,19,0,0,0,40,3,3,1
5158,2016-03-22,TRUE,174,87.00%,100,4,2,2,0,6,4,4,0,0,3,3,3,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,8,2,2,0,18,1,1,0,39,4,4,1
5161,2016-03-17,TRUE,173,86.50%,100,2,4,4,0,8,2,2,0,0,3,3,2,13,3,3,1,4,0,0,1,4,0,0,1,2,4,4,0,9,1,1,0,18,1,1,0,40,3,3,1
5162,2016-02-22,TRUE,173,86.50%,100,4,2,2,0,8,2,2,0,0,0,0,1,10,6,6,1,4,0,0,2,4,0,0,2,5,1,1,0,9,1,1,0,16,3,3,0,38,5,5,1
5163,2016-03-17,TRUE,184,92.00%,100,6,0,0,0,7,3,3,0,0,0,0,1,15,1,1,2,4,0,0,1,4,0,0,1,4,2,2,0,10,0,0,0,19,0,0,0,40,3,3,2
5165,2016-03-17,FALSE,142,71.00%,100,6,0,0,0,7,3,3,0,0,4,4,1,13,3,3,1,4,0,0,21,3,1,0,1,4,2,2,0,8,2,2,0,14,5,5,0,31,12,12,2
5166,2016-03-01,TRUE,188,94.00%,100,5,1,1,0,10,0,0,0,0,1,1,1,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,18,1,1,0,40,3,3,1
5172,2016-03-11,FALSE,178,89.00%,100,5,1,1,0,9,1,1,0,0,4,4,2,14,2,2,1,4,0,0,7,3,1,0,1,5,1,1,0,10,0,0,0,19,0,0,0,43,0,0,1
5179,2016-02-22,TRUE,182,91.00%,100,6,0,0,0,7,3,3,0,0,3,3,1,15,1,1,1,4,0,0,3,4,0,0,1,4,2,2,0,10,0,0,0,19,0,0,0,41,2,2,1
5183,2016-03-17,FALSE,184,92.00%,100,6,0,0,0,8,2,2,0,0,3,3,1,15,1,1,1,4,0,0,1,3,1,0,1,6,0,0,0,8,2,2,0,19,0,0,0,41,2,2,1
5184,2016-03-20,TRUE,143,71.50%,100,6,0,0,0,6,4,4,0,0,4,4,2,12,4,4,3,4,0,0,26,3,1,0,1,2,4,4,0,10,0,0,0,18,1,1,0,37,6,6,1
5188,2016-03-30,TRUE,163,81.50%,100,6,0,0,0,6,4,4,0,0,2,2,1,14,2,2,4,4,0,0,8,4,0,0,1,5,1,1,0,6,4,4,0,14,5,5,0,39,4,4,1
5189,2016-03-17,FALSE,156,78.00%,100,6,0,0,0,4,6,6,0,0,4,4,1,14,2,2,2,4,0,0,16,3,1,0,1,6,0,0,0,9,1,1,0,18,1,1,0,38,5,5,4
5191,2016-02-22,FALSE,129,64.50%,100,4,2,2,0,7,3,3,0,0,4,4,1,8,8,8,1,2,2,2,1,3,1,0,1,3,3,3,0,0,10,10,0,13,6,6,0,16,27,27,1
5194,2016-02-25,FALSE,171,85.50%,100,2,4,4,0,5,5,5,0,0,4,4,1,0,0,1,1,3,1,1,7,3,1,0,1,5,1,1,0,10,0,0,0,18,1,1,0,43,0,0,1
5196,2016-02-22,FALSE,174,87.00%,100,5,1,1,0,8,2,2,0,0,4,4,1,16,0,0,3,4,0,0,1,4,0,0,1,4,2,2,0,9,1,1,0,18,1,1,0,35,8,8,1
5199,2016-03-20,FALSE,161,80.50%,100,6,0,0,0,9,1,1,0,0,2,2,1,16,0,0,1,4,0,0,22,4,0,0,1,6,0,0,0,6,4,4,0,18,1,1,0,39,4,4,2
5203,2016-02-25,FALSE,132,66.00%,100,3,3,3,0,6,4,4,0,0,4,4,12,15,1,1,5,4,0,0,30,4,0,0,1,4,2,2,0,10,0,0,0,18,1,1,0,39,4,4,1
5209,2016-03-08,FALSE,166,83.00%,100,4,2,2,0,8,2,2,0,0,1,1,1,15,1,1,1,4,0,0,5,4,0,0,3,5,1,1,0,6,4,4,0,18,1,1,0,39,4,4,8
5211,2016-02-22,TRUE,192,96.00%,100,6,0,0,0,9,1,1,0,0,0,0,1,16,0,0,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,18,1,1,0,42,1,1,1
5217,2016-03-29,FALSE,153,76.50%,100,5,1,1,0,6,4,4,0,0,2,2,1,13,3,3,1,3,1,1,8,2,2,0,1,2,4,4,0,8,2,2,0,15,4,4,0,31,12,12,1
5224,2016-03-01,FALSE,186,93.00%,100,5,1,1,0,8,2,2,0,0,0,0,1,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,16,3,3,0,41,2,2,1
5225,2016-03-17,FALSE,184,92.00%,100,5,1,1,0,9,1,1,0,0,1,1,1,14,2,2,1,4,0,0,2,4,0,0,1,6,0,0,0,9,1,1,0,18,1,1,0,40,3,3,1
5230,2016-03-08,TRUE,184,92.00%,100,5,1,1,0,8,2,2,0,0,0,0,1,14,2,2,2,4,0,0,1,4,0,0,2,5,1,1,0,10,0,0,0,19,0,0,0,40,3,3,1
5231,2016-02-25,FALSE,171,85.50%,100,4,2,2,0,7,3,3,0,0,4,4,1,15,1,1,1,4,0,0,3,3,1,0,2,5,1,1,0,8,2,2,0,16,3,3,0,41,2,2,3
5235,2016-02-22,FALSE,151,75.50%,100,3,3,3,0,4,6,6,0,0,2,2,2,11,5,5,1,4,0,0,2,4,0,0,1,1,5,5,0,7,3,3,0,16,3,3,0,28,15,15,1
5237,2016-03-17,FALSE,176,88.00%,100,5,1,1,0,8,2,2,0,0,2,2,1,15,1,1,3,4,0,0,5,3,1,0,1,6,0,0,0,10,0,0,0,17,2,2,0,39,4,4,1
5242,2016-03-08,FALSE,169,84.50%,100,5,1,1,0,6,4,4,0,0,2,2,1,15,1,1,1,4,0,0,5,3,1,0,1,3,3,3,0,7,3,3,0,16,3,3,0,39,4,4,1
5247,2016-02-22,TRUE,181,90.50%,100,4,2,2,0,9,1,1,0,0,3,3,2,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,8,2,2,0,18,1,1,0,41,2,2,1
5253,2016-03-29,TRUE,185,92.50%,100,6,0,0,0,9,1,1,0,0,2,2,3,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,18,1,1,0,40,3,3,1
5256,2016-03-17,FALSE,169,84.50%,100,5,1,1,0,6,4,4,0,0,0,0,1,13,3,3,1,4,0,0,1,4,0,0,1,1,5,5,0,9,1,1,0,14,5,5,0,36,7,7,1
5260,2016-03-17,FALSE,151,75.50%,100,3,3,3,0,7,3,3,0,0,4,4,2,7,9,9,2,3,1,1,2,4,0,0,2,3,3,3,0,6,4,4,0,12,7,7,0,37,6,6,1
5370,2015-12-29,TRUE,182,91.00%,100,6,0,0,0,7,3,3,0,0,2,2,1,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,8,2,2,0,18,1,1,0,41,2,2,1
5376,2015-12-29,TRUE,184,92.00%,100,6,0,0,0,8,2,2,0,0,2,2,1,13,3,3,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,17,2,2,0,42,1,1,1
5472,2015-12-29,TRUE,178,89.00%,100,6,0,0,0,7,3,3,0,0,1,1,1,14,2,2,1,4,0,0,1,4,0,0,10,6,0,0,0,10,0,0,0,19,0,0,0,41,2,2,1
5473,2015-12-29,FALSE,174,87.00%,100,5,1,1,0,9,1,1,0,0,2,2,1,16,0,0,1,4,0,0,10,4,0,0,1,6,0,0,0,7,3,3,0,16,3,3,0,41,2,2,1
5483,2015-12-29,TRUE,180,90.00%,100,6,0,0,0,8,2,2,0,0,3,3,1,15,1,1,1,4,0,0,6,4,0,0,2,6,0,0,0,8,2,2,0,18,1,1,0,43,0,0,1
5490,2016-01-04,FALSE,167,83.50%,100,5,1,1,0,6,4,4,0,0,0,0,1,13,3,3,2,4,0,0,5,4,0,0,1,2,4,4,0,6,4,4,0,16,3,3,0,39,4,4,1
5493,2015-12-29,FALSE,161,80.50%,100,5,1,1,0,9,1,1,0,0,0,0,2,15,1,1,3,4,0,0,19,4,0,0,1,5,1,1,0,8,2,2,0,19,0,0,0,38,5,5,3
5547,2015-12-29,FALSE,135,67.50%,100,5,1,1,0,5,5,5,0,0,2,2,5,15,1,1,1,4,0,0,36,3,1,0,1,4,2,2,0,6,4,4,0,18,1,1,0,39,4,4,1
5552,2015-12-29,TRUE,187,93.50%,100,6,0,0,0,9,1,1,0,0,1,1,2,14,2,2,1,4,0,0,1,4,0,0,1,4,2,2,0,10,0,0,0,18,1,1,0,43,0,0,1
5560,2016-01-04,FALSE,176,88.00%,100,4,2,2,0,6,4,4,0,0,2,2,2,16,0,0,5,4,0,0,1,4,0,0,1,6,0,0,0,7,3,3,0,18,1,1,0,41,2,2,1
5562,2015-12-30,FALSE,179,89.50%,100,4,2,2,0,7,3,3,0,0,1,1,1,13,3,3,1,4,0,0,1,3,1,0,1,5,1,1,0,10,0,0,0,17,2,2,0,40,3,3,1
5572,2015-12-29,FALSE,166,83.00%,100,4,2,2,0,8,2,2,0,0,3,3,1,10,6,6,1,4,0,0,1,3,1,0,1,4,2,2,0,7,3,3,0,16,3,3,0,36,7,7,1
5574,2015-12-29,TRUE,180,90.00%,100,4,2,2,0,6,4,4,0,0,0,0,2,14,2,2,1,4,0,0,1,4,0,0,1,3,3,3,0,9,1,1,0,18,1,1,0,42,1,1,1
5577,2016-01-06,FALSE,146,73.00%,100,6,0,0,0,7,3,3,0,0,2,2,6,14,2,2,27,4,0,0,2,3,1,0,1,4,2,2,0,8,2,2,0,18,1,1,0,39,4,4,1
5583,2016-01-06,FALSE,175,87.50%,100,4,2,2,0,9,1,1,0,0,0,0,1,11,5,5,1,3,1,1,1,4,0,0,1,3,3,3,0,6,4,4,0,15,4,4,0,43,0,0,1
5588,2015-12-29,FALSE,171,85.50%,100,6,0,0,0,5,5,5,0,0,3,3,2,13,3,3,1,3,1,1,1,2,2,0,1,6,0,0,0,6,4,4,0,15,4,4,0,42,1,1,1
5589,2015-12-29,FALSE,153,76.50%,100,4,2,2,0,9,1,1,0,0,0,0,1,15,1,1,1,4,0,0,33,4,0,0,3,5,1,1,0,9,1,1,0,19,0,0,0,41,2,2,1
5590,2015-12-29,FALSE,162,81.00%,100,5,1,1,0,7,3,3,0,0,3,3,5,14,2,2,3,4,0,0,9,4,0,0,1,4,2,2,0,6,4,4,0,18,1,1,0,40,3,3,1
5591,2015-12-29,FALSE,178,89.00%,100,4,2,2,0,9,1,1,0,0,2,2,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,5,5,5,0,18,1,1,0,40,3,3,1
5592,2016-01-06,TRUE,189,94.50%,100,6,0,0,0,9,1,1,0,0,1,1,1,14,2,2,1,4,0,0,1,4,0,0,1,4,2,2,0,10,0,0,0,19,0,0,0,43,0,0,1
5595,2016-01-04,TRUE,165,82.50%,100,3,3,3,0,6,4,4,0,0,3,3,2,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,8,2,2,0,14,5,5,0,34,9,9,1
5598,2016-01-07,FALSE,178,89.00%,100,6,0,0,0,7,3,3,0,0,2,2,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,6,4,4,0,17,2,2,0,40,3,3,1
5599,2015-12-29,FALSE,170,85.00%,100,5,1,1,0,6,4,4,0,0,3,3,1,12,4,4,2,4,0,0,2,4,0,0,1,4,2,2,0,8,2,2,0,17,2,2,0,38,5,5,1
5600,2015-12-29,FALSE,144,72.00%,100,5,1,1,0,7,3,3,0,0,3,3,1,12,4,4,1,3,1,1,2,3,1,0,1,2,4,4,0,6,4,4,0,16,3,3,0,22,21,21,6
5601,2015-12-29,FALSE,183,91.50%,100,6,0,0,0,9,1,1,0,0,4,4,2,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,8,2,2,0,17,2,2,0,42,1,1,1
5602,2015-12-29,FALSE,168,84.00%,100,5,1,1,0,8,2,2,0,0,3,3,1,13,3,3,1,4,0,0,11,4,0,0,1,3,3,3,0,9,1,1,0,17,2,2,0,41,2,2,1
5606,2016-01-04,FALSE,170,85.00%,100,5,1,1,0,6,4,4,0,0,1,1,5,15,1,1,3,4,0,0,1,3,1,0,1,3,3,3,0,8,2,2,0,17,2,2,0,39,4,4,1
5609,2015-12-29,FALSE,168,84.00%,100,6,0,0,0,7,3,3,0,0,4,4,1,12,4,4,1,3,1,1,9,4,0,0,1,4,2,2,0,9,1,1,0,18,1,1,0,40,3,3,1
5611,2015-12-29,FALSE,174,87.00%,100,5,1,1,0,5,5,5,0,0,3,3,1,15,1,1,1,4,0,0,4,4,0,0,1,5,1,1,0,9,1,1,0,17,2,2,0,39,4,4,1
5612,2015-12-30,FALSE,158,79.00%,100,3,3,3,0,7,3,3,0,0,4,4,1,9,7,7,2,3,1,1,4,4,0,0,1,4,2,2,0,8,2,2,0,17,2,2,0,34,9,9,1
5615,2016-01-04,FALSE,181,90.50%,100,6,0,0,0,8,2,2,0,0,2,2,1,13,3,3,1,4,0,0,1,3,1,0,2,6,0,0,0,8,2,2,0,19,0,0,0,40,3,3,1
5616,2016-01-04,FALSE,172,86.00%,100,3,3,3,0,4,6,6,0,0,0,0,1,13,3,3,1,4,0,0,1,3,1,0,1,6,0,0,0,7,3,3,0,16,3,3,0,39,4,4,1
5618,2015-12-29,FALSE,170,85.00%,100,4,2,2,0,9,1,1,0,0,0,0,1,10,6,6,1,4,0,0,3,3,1,0,1,5,1,1,0,5,5,5,0,15,4,4,0,40,3,3,1
5619,2015-12-29,TRUE,177,88.50%,100,6,0,0,0,8,2,2,0,0,1,1,2,13,3,3,1,4,0,0,1,4,0,0,1,2,4,4,0,10,0,0,0,17,2,2,0,38,5,5,1
5620,2015-12-29,FALSE,180,90.00%,100,6,0,0,0,7,3,3,0,0,2,2,2,14,2,2,1,4,0,0,3,4,0,0,1,5,1,1,0,9,1,1,0,17,2,2,0,42,1,1,1
5636,2015-12-29,FALSE,160,80.00%,100,5,1,1,0,5,5,5,0,0,4,4,1,13,3,3,1,4,0,0,17,3,1,0,1,6,0,0,0,10,0,0,0,19,0,0,0,38,5,5,1
5637,2015-12-29,FALSE,144,72.00%,100,6,0,0,0,8,2,2,0,0,2,2,1,13,3,3,1,3,1,1,37,4,0,0,1,6,0,0,0,8,2,2,0,17,2,2,0,40,3,3,1
5638,2015-12-29,TRUE,174,87.00%,100,6,0,0,0,8,2,2,0,0,4,4,6,16,0,0,5,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,18,1,1,0,39,4,4,1
5639,2015-12-29,FALSE,173,86.50%,100,5,1,1,0,7,3,3,0,0,4,4,2,14,2,2,1,4,0,0,6,4,0,0,1,4,2,2,0,10,0,0,0,19,0,0,0,39,4,4,1
5640,2015-12-29,FALSE,163,81.50%,100,4,2,2,0,5,5,5,0,0,2,2,1,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,6,4,4,0,15,4,4,0,30,13,13,1
5641,2015-12-29,FALSE,179,89.50%,100,5,1,1,0,9,1,1,0,0,0,0,2,14,2,2,1,4,0,0,7,4,0,0,2,4,2,2,0,9,1,1,0,19,0,0,0,43,0,0,2
5642,2016-01-04,FALSE,184,92.00%,100,5,1,1,0,7,3,3,0,0,2,2,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,9,1,1,0,19,0,0,0,41,2,2,1
5643,2015-12-29,FALSE,168,84.00%,100,5,1,1,0,6,4,4,0,0,4,4,1,10,6,6,1,4,0,0,1,3,1,0,1,5,1,1,0,7,3,3,0,18,1,1,0,37,6,6,1
5644,2015-12-29,FALSE,188,94.00%,100,5,1,1,0,7,3,3,0,0,0,0,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,9,1,1,0,19,0,0,0,43,0,0,1
5646,2016-01-06,FALSE,160,80.00%,100,4,2,2,0,6,4,4,0,0,4,4,1,8,8,8,1,3,1,1,1,4,0,0,1,6,0,0,0,6,4,4,0,15,4,4,0,35,8,8,1
5647,2015-12-29,FALSE,159,79.50%,100,4,2,2,0,4,6,6,0,0,3,3,1,15,1,1,1,4,0,0,15,3,1,0,1,6,0,0,0,9,1,1,0,17,2,2,0,37,6,6,1
5648,2015-12-29,TRUE,182,91.00%,100,6,0,0,0,8,2,2,0,0,0,0,1,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,7,3,3,0,18,1,1,0,39,4,4,1
5649,2015-12-30,TRUE,186,93.00%,100,5,1,1,0,8,2,2,0,0,0,0,2,14,2,2,1,4,0,0,1,3,1,0,1,6,0,0,0,9,1,1,0,19,0,0,0,42,1,1,1
5650,2015-12-29,FALSE,159,79.50%,100,4,2,2,0,7,3,3,0,0,2,2,1,12,4,4,1,4,0,0,13,3,1,0,1,5,1,1,0,7,3,3,0,16,3,3,0,38,5,5,1
5651,2015-12-29,FALSE,168,84.00%,100,5,1,1,0,7,3,3,0,0,3,3,1,15,1,1,1,4,0,0,1,4,0,0,1,0,6,6,0,10,0,0,0,17,2,2,0,33,10,10,2
5652,2016-01-06,FALSE,187,93.50%,100,6,0,0,0,6,4,4,0,0,0,0,1,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,17,2,2,0,43,0,0,1
5653,2016-01-04,FALSE,162,81.00%,100,6,0,0,0,7,3,3,0,0,1,1,1,12,4,4,1,4,0,0,1,4,0,0,2,5,1,1,0,8,2,2,0,15,4,4,0,26,17,17,1
5654,2015-12-29,FALSE,137,68.50%,100,6,0,0,0,7,3,3,0,0,4,4,1,6,10,10,1,4,0,0,5,3,1,0,1,3,3,3,0,5,5,5,0,14,5,5,0,20,23,23,1
5655,2016-01-04,TRUE,191,95.50%,100,5,1,1,0,8,2,2,0,0,0,0,1,16,0,0,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,19,0,0,0,42,1,1,1
5656,2015-12-29,FALSE,116,58.00%,100,5,1,1,0,6,4,4,0,0,2,2,5,13,3,3,1,4,0,0,51,3,1,0,1,4,2,2,0,8,2,2,0,15,4,4,0,37,6,6,1
5657,2015-12-29,FALSE,177,88.50%,100,5,1,1,0,6,4,4,0,0,2,2,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,7,3,3,0,17,2,2,0,40,3,3,1
5659,2016-01-07,FALSE,160,80.00%,100,4,2,2,0,4,6,6,0,0,4,4,1,9,7,7,1,4,0,0,1,4,0,0,1,3,3,3,0,7,3,3,0,15,4,4,0,37,6,6,1
5660,2016-01-04,FALSE,166,83.00%,100,4,2,2,0,7,3,3,0,0,1,1,1,12,4,4,1,4,0,0,1,2,2,0,1,4,2,2,0,8,2,2,0,17,2,2,0,35,8,8,4
5661,2016-01-06,FALSE,177,88.50%,100,6,0,0,0,3,7,7,0,0,2,2,1,16,0,0,1,4,0,0,1,4,0,0,1,5,1,1,0,6,4,4,0,16,3,3,0,42,1,1,1
5662,2015-12-29,FALSE,161,80.50%,100,3,3,3,0,7,3,3,0,0,4,4,3,11,5,5,2,4,0,0,1,2,2,0,1,3,3,3,0,7,3,3,0,15,4,4,0,39,4,4,1
5963,2016-02-19,FALSE,136,68.00%,100,2,4,4,0,4,6,6,0,0,5,5,2,6,10,10,1,1,3,3,1,1,3,0,1,1,5,5,0,7,3,3,0,11,8,8,0,32,11,11,1
